"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
23.0099169227423,7.7776897766666,1.24249114287741,6.25975470429089,3.85583488666673e-10,1.11984461779907e-08,"TGME49_202960","Up in 120DPI"
3.81988792551465,5.13513496871321,1.37363755673276,3.73834782220668,0.000185233561022465,0.00141041134666169,"TGME49_211070","Up in 120DPI"
2.14805288171244,3.50420619519153,1.2492218224386,2.80511125586246,0.00502992147434074,0.0230311494534566,"TGME49_220310","Up in 120DPI"
2.81881662681429,3.85623126451499,1.26669006769461,3.04433686097609,0.00233193866755768,0.0123298603670865,"TGME49_230900","Up in 120DPI"
53.1713352294675,2.3845797909119,0.46206041827635,5.16075321882631,2.45958230150248e-07,4.14965213191248e-06,"TGME49_231880","Up in 120DPI"
11.551138408488,4.3747911270321,0.863371006276353,5.0671045184853,4.03912527863036e-07,6.39433673443565e-06,"TGME49_238480","Up in 120DPI"
8.29589407888997,2.28186526238325,0.790013595821686,2.8883873321318,0.00387222722854538,0.0185885193757562,"TGME49_243615","Up in 120DPI"
5.28595699117523,2.31955003807976,0.759791553690287,3.05287684077793,0.00226658942123836,0.0120627651659099,"TGME49_254740","Up in 120DPI"
230.261321561347,2.24175648744864,0.30878104399054,7.26001978125742,3.87033718854845e-13,1.63924906339979e-11,"TGME49_270260","Up in 120DPI"
11.7290550650149,2.15168265025655,0.480755988274779,4.47562319083739,7.6188753057274e-06,8.72629492763031e-05,"TGME49_274170","Up in 120DPI"
962.141477458883,2.10950165498841,0.329165741585103,6.40863063340089,1.46832439388602e-10,4.52288407995496e-09,"TGME49_275680","Up in 120DPI"
2.38706970648997,3.56898260028484,1.25817185938168,2.83664157139773,0.00455907612184225,0.0211370621566825,"TGME49_284615","Up in 120DPI"
602.69543516566,2.20621540526903,0.416791983946209,5.29332494444942,1.20112216990775e-07,2.14200120300215e-06,"TGME49_285470","Up in 120DPI"
28.7779383255072,2.78998910473306,0.656152958237273,4.25204073182608,2.1183131962763e-05,0.000212144370838902,"TGME49_293250","Up in 120DPI"
398.188401123332,3.08631957713956,0.285209058249601,10.8212537009907,2.73016902397894e-27,4.82646402239059e-25,"TGME49_304450","Up in 120DPI"
